id,code,name,city,state,country
1307,SHX,"Shageluk Airport",Shageluk,Alaska,"United States"
1308,SYL,"Roberts Army Heliport","Camp Roberts","San Luis Obispo County","United States"
1309,TSV,"Townsville Airport",Townsville,Queensland,Australia
1310,VNY,"Van Nuys Airport","Van Nuys",California,"United States"
1311,XTI,"Chamartin Railway Station Airport",Madrid,,Spain
1312,YNO,"North Spirit Lake Airport","North Spirit Lake",Ontario,Canada
1313,ZGF,"Grand Forks Airport","Grand Forks","British Columbia",Canada
1314,ABR,"Aberdeen Regional Airport",Aberdeen,"South Dakota","United States"
1315,AOD,"Abou-Deia Airport",Abou-Deia,,Chad
1316,BBK,"Kasane Airport",Kasane,,Botswana
1317,BLU,"Blue Canyon - Nyack Airport","Emigrant Gap",California,"United States"
1318,BXI,"Boundiali Airport",Boundiali,,"Côte d'Ivoire"
1319,CIS,"Canton Island Airport","Canton Island",,Kiribati
1320,CUR,"Hato International Airport",Willemstad,Curaçao,"Kingdom of the Netherlands"
1321,DOD,"Dodoma International Airport",Dodoma,,Tanzania
1322,ENV,"Wendover Airport",Wendover,Utah,"United States"
1323,FRD,"Friday Harbor Airport","Friday Harbor",Washington,"United States"
1324,GOC,"Gora Airport",Gora,,"Papua New Guinea"
1325,HIH,"Hook Island Airport","Hook Island",Queensland,Australia
1326,IGE,"Iguela Airport",Iguela,,Gabon
1327,JEG,"Aasiaat Airport",Aasiaat,,Greenland
1328,KEE,"Kelle Airport",Kelle,,"Republic of the Congo"
1329,KRN,"Kiruna Airport",Kiruna,,Sweden
1330,LEU,"La Seu d'Urgell Airport","La Seu d'Urgell",,Spain
1331,LTN,"London Luton Airport",Luton,England,"United Kingdom"
1332,MGL,"Düsseldorf-Mönchengladbach Airport",Mönchengladbach,,Germany
1333,MRS,"Marseille Provence Airport",Marseille,,France
1334,NHT,"RAF Northolt",Ruislip,England,"United Kingdom"
1335,OSC,"Oscoda-Wurtsmith Airport",Oscoda,Michigan,"United States"
1336,PPI,"PORT Pirie Airport","PORT Pirie","South Australia",Australia
1337,RID,"Richmond Municipal Airport",Richmond,Indiana,"United States"
1338,SIA,"Xiguan Airport",Xi'an,Shaanxi,China
1339,SYN,"Stanton Airfield",Stanton,Minnesota,"United States"
1340,TSY,"Tasikmalaya Airport",Tasikmalaya,"West Java",Indonesia
1341,VOD,"Vodochody Airport",Vodochody,,"Czech Republic"
1342,XTL,"Tadoule Lake Airport","Tadoule Lake",Manitoba,Canada
1343,YNR,"Arnes Airport",Arnes,Manitoba,Canada
1344,ZGI,"Gods River Airport","Gods River",Manitoba,Canada
1345,ABS,"Abu Simbel Airport","Abu Simbel",,Egypt
1346,AOE,"Anadolu Airport",Eski?ehir,,Turkey
1347,BBL,"Ballera Airport",Ballera,Queensland,Australia
1348,BXJ,"Almaty-Burundai Airport",Almaty,,Kazakhstan
1349,CIT,"Shymkent Airport",Shymkent,,Kazakhstan
1350,CUS,"Columbus Municipal Airport",Columbus,"New Mexico","United States"
1351,DOE,"Djumu Airport","Djumu (Djoemoe)",,Suriname
1352,ENW,"Kenosha Regional Airport",Kenosha,Wisconsin,"United States"
1353,FRE,"Fera Airport (Fera/Maringe Airport)",Maringe,"Fera Island","Solomon Islands"
1354,GOE,"Gonalia Airport",Gonalia,,"Papua New Guinea"
1355,HII,"Lake Havasu City Airport","Lake Havasu City",Arizona,"United States"
1356,IGG,"Igiugig Airport",Igiugig,Alaska,"United States"
1357,JEJ,"Jeh Airport","Ailinglaplap Atoll",,"Marshall Islands"
1358,KEF,"Keflavík International Airport",Keflavík,,Iceland
1359,KRO,"Kurgan Airport",Kurgan,,Russia
1360,LEV,"Levuka Airfield",Bureta,"Ovalau Island",Fiji
1361,LTO,"Loreto International Airport",Loreto,"Baja California Sur",Mexico
1362,MGM,"Montgomery Regional Airport(Dannelly Field)",Montgomery,Alabama,"United States"
1363,MRT,"Moroak Airport",Moroak,"Northern Territory",Australia
1364,NHX,"NOLF Barin",Foley,Alabama,"United States"
1365,OSD,"Åre Östersund Airport",Östersund,,Sweden
1366,PPK,"Petropavlovsk Airport",Petropavl,,Kazakhstan
1367,RIE,"Rice Lake Regional Airport (Carl's Field)","Rice Lake",Wisconsin,"United States"
1368,SID,"Amilcar Cabral International Airport","Sal Island",,"Cape Verde"
1369,SYO,"Shonai Airport",Yamagata,,Japão
1370,TSZ,"Tsetserleg Airport",Tsetserleg,Arkhangai,Mongolia
1371,VOG,"Gumrak Airport",Volgograd,,Russia
1372,XTO,"Taroom Airport",Taroom,Queensland,Australia
1373,YNS,"Nemiscau Airport",Nemiscau,Quebec,Canada
1374,ZGL,"South Galway Airport","South Galway",Queensland,Australia
1375,ABT,"Al-Baha Domestic Airport",Al-Baha,,"Saudi Arabia"
1376,AOG,"Anshan Teng'ao Airport",Anshan,Liaoning,China
1377,BBM,"Battambang Airport",Battambang,,Cambodia
1378,BLX,"Arturo dell'Oro Airport",Belluno,,Italy
1379,BXK,"Buckeye Municipal Airport",Buckeye,Arizona,"United States"
1380,CIU,"Chippewa County International Airport","Sault Ste Marie",Michigan,"United States"
1381,CUT,"Cutral Có Airport","Cutral Có",Neuquén,Argentina
1382,DOG,"Dongola Airport",Dongola,,Sudan
1383,ENY,"Yan'an Ershilibao Airport",Yan'an,Shaanxi,China
1384,FRF,"Oschersleben Airport",Oschersleben,Saxony-Anhalt,Germany
1385,GOF,"Goodfellow Air Force Base","San Angelo",Texas,"United States"
1386,HIJ,"Hiroshima Airport",Hiroshima,Honsh?,Japão
1387,IGH,"Ingham Airport",Ingham,Queensland,Australia
1388,JEM,"Emeryville Heliport",Emeryville,California,"United States"
1389,KEG,"Keglsugl Airport",Keglsugl,,"Papua New Guinea"
1390,KRP,"Karup Airport",Karup,,Denmark
1391,LEW,"Auburn/Lewiston Municipal Airport",Auburn/Lewiston,Maine,"United States"
1392,LTP,"Lyndhurst Airport",Lyndhurst,"Shire of Etheridge",Australia
1393,MGN,"Baracoa Airport",Magangué,Bolívar,Colombia
1394,NHZ,"NAS Brunswick",Brunswick,Maine,"United States"
1395,OSF,"Ostafyevo International Airport",Podolsk,,Russia
1396,PPL,"Phaplu Airport",Phaplu,,Nepal
1397,RIF,"Richfield Municipal Airport",Richfield,Utah,"United States"
1398,SIG,"Fernando Luis Ribas Dominicci Airport","San Juan",,"Puerto Rico"
1399,SYP,"Ruben Cantu Airport","Santiago de Veraguas",,Panama
1400,TTA,"Tan Tan Airport (Plage Blanche Airport)",Tan-Tan,,Morocco
1401,VOI,"Voinjama Airport",Voinjama,,Liberia
1402,XTR,"Tara Airport",Tara,Queensland,Australia
1403,YNT,"Yantai Laishan International Airport",Yantai,Shandong,China
1404,ZGM,"Ngoma Airport",Ngoma,,Zambia
1405,ABU,"Haliwen Airport",Atambua,,Indonesia
1406,AOH,"Lima Allen County Airport",Lima,Ohio,"United States"
1407,BBN,"Bario Airport",Bario,Sarawak,Malaysia
1408,BLY,"Belmullet Airport",Belmullet,,Ireland
1409,BXL,"Nanuya Lailai Airport","Nanuya Lailai",,Fiji
1410,CIW,"Canouan Island Airport","Canouan Island",,"Saint Vincent and the Grenadines"
1411,DOH,"Hamad International Airport",Doha,,Qatar
1412,EOH,"Olaya Herrera Airport",Medellín,,Colombia
1413,FRG,"Republic Airport","East Farmingdale","New York","United States"
1414,GOG,"Gobabis Airport",Gobabis,,Namibia
1415,HIK,"Hickam Air Force Base",Honolulu,Hawaii,"United States"
1416,IGL,"Çi?li Airport (Çi?li Air Base)","Çi?li / ?zmir",,Turkey
1417,JEQ,"Jequié Airport",Jequié,Bahia,Brazil
1418,KEH,"Kenmore Air Harbor",Kenmore,Washington,"United States"
1419,KRQ,"Kramatorsk Airport",Kramatorsk,"Donetsk Oblast",Ukraine
1420,LEX,"Blue Grass Airport",Lexington,Kentucky,"United States"
1421,LTQ,"Le Touquet-Paris-Plage Airport","Le Touquet-Paris-Plage",,France
1422,MGP,"Manga Airport",Manga,,"Papua New Guinea"
1423,MRV,"Mineralnye Vody Airport","Mineralnye Vody",,Russia
1424,NIA,"Nimba Airport",Nimba,,Liberia
1425,OSH,"Wittman Regional Airport",Oshkosh,Wisconsin,"United States"
1426,PPM,"Pompano Beach Airpark","Pompano Beach",Florida,"United States"
1427,RIG,"Rio Grande Airport","Rio Grande",,Brazil
1428,SII,"Sania Ramel Airport","Sidi Ifni",,Morocco
1429,SYQ,"Tobías Bolaños International Airport","San José",,"Costa Rica"
1430,TTB,"Tortolì Airport",Sardinia,,Italy
1431,VOK,"Volk Field","Camp Douglas",Wisconsin,"United States"
1432,XUZ,"Xuzhou Airport",Xuzhou,Jiangsu,China
1433,YNZ,"Yancheng Nanyang Airport",Yancheng,Jiangsu,China
1434,ZGR,"Little Grand Rapids Airport","Little Grand Rapids",Manitoba,Canada
1435,ABV,"Nnamdi Azikiwe International Airport",Abuja,,Nigeria
1436,AOI,"Falconara Airport",Ancona,,Italy
1437,BBO,"Berbera Airport",Berbera,,Somalia
1438,BLZ,"Chileka International Airport",Blantyre,,Malawi
1439,BXM,"Batom Airport",Batom,,Indonesia
1440,CUV,"El Cubo Airport",Casigua,,Venezuela
1441,DOI,"Doini Airport",Doini,,"Papua New Guinea"
1442,EOI,"Eday Airport",Eday,Scotland,"United Kingdom"
1443,FRH,"French Lick Municipal Airport","French Lick",Indiana,"United States"
1444,GOH,"Nuuk Airport (Godthåb/Nuuk Airport)",Nuuk,,Greenland
1445,HIL,"Shilabo Airport",Shilabo,,Ethiopia
1446,IGM,"Kingman Airport",Kingman,Arizona,"United States"
1447,JER,"Jersey Airport",Jersey,"Channel Islands","United Kingdom"
1448,KEI,"Kepi Airport",Kepi,,Indonesia
1449,KRR,"Pashkovsky Airport",Krasnodar,,Russia
1450,LEY,"Lelystad Airport",Lelystad,,Netherlands
1451,LTR,"Letterkenny Airport",Letterkenny,,Ireland
1452,MGQ,"Aden Adde International Airport",Mogadishu,,Somalia
1453,MRW,"Maribo Airport (Lolland Falster Airport)","Lolland Falster",,Denmark
1454,NIB,"Nikolai Airport",Nikolai,Alaska,"United States"
1455,OSI,"Osijek Airport",Osijek,,Croatia
1456,PPN,"Guillermo León Valencia Airport",Popayán,,Colombia
1457,RIK,"Carrillo Airport",Carrillo,,"Costa Rica"
1458,SIJ,"Siglufjörður Airport",Siglufjörður,,Iceland
1459,SYR,"Syracuse Hancock International Airport",Mattydale,"New York","United States"
1460,TTD,"Portland-Troutdale Airport",Portland,Oregon,"United States"
1461,VOL,"International Airport of Central Greece",Volos,,Greece
1462,XVL,"Vinh Long Airport","Vinh Long",,Vietnam
1463,YOC,"Old Crow Airport","Old Crow",Yukon,Canada
1464,ZGS,"Gethsemani Airport",Gethsemani,Quebec,Canada
1465,ABW,"Abau Airport",Abau,,"Papua New Guinea"
1466,AOJ,"Aomori Airport",Aomori,,Japão
1467,BBP,"Bembridge Airport",Bembridge,"Isle of Wight","United Kingdom"
1468,BMA,"Stockholm-Bromma Airport",Stockholm,,Sweden
1469,BXN,"Bodrum-Imsik Airport",Bodrum,,Turkey
1470,CIY,"Comiso Airport",Comiso,,Italy
1471,CUX,"Cuddihy Field","Corpus Christi",Texas,"United States"
1472,DOK,"Donetsk International Airport",Donetsk,,Ukraine
1473,EOK,"Keokuk Municipal Airport",Keokuk,Iowa,"United States"
1474,FRI,"Marshall Army Airfield (Fort Riley)","Junction City",Kansas,"United States"
1475,GOI,"Goa International Airport (Dabolim Airport)",Dabolim,Goa,India
1476,HIM,"Minneriya Airport (Polonnaruwa Airport)",Polonnaruwa,,"Sri Lanka"
1477,IGN,"Maria Cristina Airport (Iligan Airport)",Baloi,"Lanao del Norte",Philippines
1478,JEV,"Évry Heliport",Évry,Essonne,France
1479,KEJ,"Kemerovo Airport",Kemerovo,"Kemerovo Oblast",Russia
1480,KRS,"Kristiansand Airport, Kjevik",Kristiansand,Vest-Agder,Norway
1481,LEZ,"La Esperanza Airport","La Esperanza",,Honduras
1482,LTS,"Altus Air Force Base",Altus,Oklahoma,"United States"
1483,MGR,"Moultrie Municipal Airport",Moultrie,Georgia,"United States"
1484,MRX,"Mahshahr Airport",Mahshahr,,Iran
1485,NIM,"Diori Hamani International Airport",Niamey,,Niger
1486,OSK,"Oskarshamn Airport",Oskarshamn,,Sweden
1487,PPO,"La Porte Municipal Airport","La Porte",Indiana,"United States"
1488,RIL,"Garfield County Regional Airport",Rifle,Colorado,"United States"
1489,SIK,"Sikeston Memorial Municipal Airport",Sikeston,Missouri,"United States"
1490,SYV,"Sylvester Airport",Sylvester,Georgia,"United States"
1491,TTG,"Tartagal Airport",Tartagal,Salta,Argentina
1492,VOZ,"Voronezh International Airport",Voronezh,,Russia
1493,XVS,"Valenciennes - Denain Aerodrome",Valenciennes,,France
1494,YOD,"CFB Cold Lake","Cold Lake",Alberta,Canada
1495,ZGU,"Gaua Airport",Gaua,Torba,Vanuatu
1496,ABX,"Albury Airport",Albury,"New South Wales",Australia
1497,AOK,"Karpathos Airport",Karpathos,,Greece
1498,BBQ,"Codrington Airport",Codrington,Barbuda,"Antigua and Barbuda"
1499,BMB,"Bumbar Airport",Bumbar,,"Democratic Republic of the Congo"
1500,BXO,"Buochs Airport",Buochs,,Switzerland
1501,CIZ,"Coari Airport",Coari,Amazonas,Brazil
1502,CUY,"Cue Airport",Cue,"Western Australia",Australia
1503,DOL,"Deauville Saint-Gatien Airport",Deauville,,France
1504,EOR,"El Dorado Airport","El Dorado",,Venezuela
1505,FRJ,"Frejus Saint-Raphael Airport","Fréjus / Saint-Raphaël",,France
1506,GOJ,"Strigino Airport","Nizhny Novgorod",,Russia
1507,HIN,"Sacheon Airport / Sacheon Air Base",Sacheon,,"South Korea"
1508,IGO,"Chigorodó Airport",Chigorodó,,Colombia
1509,JFK,"John F. Kennedy International Airport","New York City","New York","United States"
1510,KEK,"Ekwok Airport",Ekwok,Alaska,"United States"
1511,KRT,"Khartoum International Airport",Khartoum,,Sudan
1512,LFI,"Langley Air Force Base",Hampton,Virginia,"United States"
1513,LTT,"La Môle - Saint-Tropez Airport","La Môle / Saint-Tropez",,France
1514,MGS,"Mangaia Island Airport","Mangaia Island",,"Cook Islands"
1515,MRY,"Monterey Regional Airport",Monterey,California,"United States"
1516,NIN,"Ninilchik Airport",Ninilchik,Alaska,"United States"
1517,OSL,"Oslo Airport, Gardermoen",Ullensaker,,Norway
1518,PPP,"Whitsunday Coast Airport",Proserpine,Queensland,Australia
1519,RIO,"ALL Airports","Rio de Janeiro",,Brazil
1520,SIN,"Singapore Changi Airport",Changi,,Singapura
1521,SYX,"Sanya Phoenix International Airport",Sanya,Hainan,China
1522,TTM,"Tablón de Tamara Airport","Tablón de Tamara",,Colombia
1523,VPN,"Vopnafjörður Airport",Vopnafjörður,,Iceland
1524,XYA,"Yandina Airport",Yandina,,"Solomon Islands"
1525,YOE,"Donnelly Airport",Donnelly,Alberta,Canada
1526,ZHA,"Zhanjiang Airport",Zhanjiang,Guangdong,China
1527,ABY,"Southwest Georgia Regional Airport",Albany,Georgia,"United States"
1528,AOL,"Paso de los Libres Airport","Paso de los Libres",Corrientes,Argentina
1529,BBR,"Baillif Airport",Basse-Terre,,Guadeloupe
1530,BMC,"Brigham City Airport","Brigham City",Utah,"United States"
1531,BXP,"Bia?a Podlaska Airport","Bia?a Podlaska",,Poland
1532,DOM,"Melville Hall Airport","Melville Hall",,Dominica
1533,EOS,"Neosho Hugh Robinson Airport",Neosho,Missouri,"United States"
1534,FRK,"Frégate Island Airport","Frégate Island",,Seychelles
1535,HIO,"Portland-Hillsboro Airport","Hillsboro / Portland",Oregon,"United States"
1536,IGR,"Cataratas del Iguazú International Airport","Puerto Iguazú",Misiones,Argentina
1537,JFM,"Fremantle Heliport",Fremantle,"Western Australia",Australia
1538,KEL,"Kiel Holtenau Airport",Kiel,Schleswig-Holstein,Germany
1539,KRU,"Kerau Airport",Kerau,,"Papua New Guinea"
1540,LFK,"Angelina County Airport",Lufkin,Texas,"United States"
1541,LTU,"Latur Airport",Latur,Maharashtra,India
1542,MGT,"Milingimbi Airport","Milingimbi Island","Northern Territory",Australia
1543,MRZ,"Moree Airport",Moree,"New South Wales",Australia
1544,NIO,"Nioki Airport",Nioki,,"Democratic Republic of the Congo"
1545,OSR,"Ostrava-Mosnov International Airport",Ostrava,,"Czech Republic"
1546,PPQ,"Paraparaumu Airport","Paraparaumu Beach",,"New Zealand"
1547,RIR,"Flabob Airport","Riverside / Rubidoux",California,"United States"
1548,SIO,"Smithton Airport",Smithton,Tasmania,Australia
1549,SYY,"Stornoway Airport",Stornoway,Scotland,"United Kingdom"
1550,TTN,"Trenton-Mercer Airport",Trenton,"New Jersey","United States"
1551,XYE,"Ye Airport",Ye,"Mon State","Myanmar (Burma)"
1552,YOG,"Ogoki Post Airport","Ogoki Post",Ontario,Canada
1553,ZHM,"Shamshernagar Airport",Shamshernagar,,Bangladesh
1554,ABZ,"Aberdeen Airport",Aberdeen,Scotland,"United Kingdom"
1555,AON,"Arona Airport",Arona,,"Papua New Guinea"
1556,BBS,"Blackbushe Airport",Yateley,Hampshire,"United Kingdom"
1557,BMD,"Belo sur Tsiribihina Airport","Belo sur Tsiribihina",,Madagascar
1558,BXR,"Bam Airport",Bam,,Iran
1559,CJB,"Coimbatore International Airport",Coimbatore,,India
1560,CVB,"Chungribu Airport",Chungribu,,"Papua New Guinea"
1561,DON,"Dos Lagunas Airport","Dos Lagunas","El Petén",Guatemala
1562,EOZ,"Elorza Airport",Elorza,,Venezuela
1563,FRL,"Forlì 'Luigi Ridolfi Airport'",Forlì,Emilia-Romagna,Italy
1564,GOL,"Gold Beach Municipal Airport","Gold Beach",Oregon,"United States"
1565,HIP,"Headingly Airport",Headingly,Queensland,Australia
1566,IGS,"Ingolstadt Manching Airport",Ingolstadt,,Germany
1567,JFN,"Ashtabula County Airport",Ashtabula,Ohio,"United States"
1568,KEM,"Kemi-Tornio Airport","Kemi / Tornio",,Finland
1569,KRV,"Kerio Valley Airport","Kerio Valley",,Kenya
1570,LTV,"Lotus Vale Station Airport","Lotus Vale Station",Queensland,Australia
1571,MGV,"Margaret River Airport","Margaret River","Western Australia",Australia
1572,MSA,"Muskrat Dam Airport","Muskrat Dam",Ontario,Canada
1573,NIP,"NAS Jacksonville (Towers Field)",Jacksonville,Florida,"United States"
1574,OSS,"Osh Airport",Osh,,Kyrgyzstan
1575,PPS,"Puerto Princesa Airport","Puerto Princesa City",,Philippines
1576,RIV,"March ARB",Riverside,California,"United States"
1577,SIP,"Simferopol International Airport",Simferopol,,Ukraine
1578,SYZ,"Shiraz International Airport",Shiraz,,Iran
1579,TTO,"Britton Municipal Airport",Britton,"South Dakota","United States"
1580,VPY,"Chimoio Airport",Chimoio,,Mozambique
1581,XZA,"Zabré Airport",Zabré,,"Burkina Faso"
1582,YOH,"Oxford House Airport","Oxford House",Manitoba,Canada
1583,ZHP,"High Prairie Airport","High Prairie",Alberta,Canada
1584,ACA,"General Juan N. Álvarez International Airport",Acapulco,Guerrero,Mexico
1585,AOO,"Altoona-Blair County Airport",Altoona,Pennsylvania,"United States"
1586,BBT,"Berbérati Airport",Berbérati,,"Central African Republic"
1587,BME,"Broome International Airport",Broome,"Western Australia",Australia
1588,BXS,"Borrego Valley Airport","Borrego Springs",California,"United States"
1589,CJC,"El Loa Airport",Calama,"Antofagasta Region",Chile
1590,CVC,"Cleve Airport",Cleve,"South Australia",Australia
1591,DOO,"Dorobisoro Airport",Dorobisoro,,"Papua New Guinea"
1592,EPG,"Browns Airport","Weeping Water",Nebraska,"United States"
1593,FRM,"Fairmont Municipal Airport",Fairmont,Minnesota,"United States"
1594,GOM,"Goma Airport",Goma,,"Democratic Republic of the Congo"
1595,HIR,"Honiara International Airport",Honiara,"Guadalcanal Island","Solomon Islands"
1596,IGT,"Magas Airport",Magas,"Republic of Ingushetia",Russia
1597,JFR,"Paamiut Airport",Paamiut,,Greenland
1598,KEN,"Kenema Airport",Kenema,,"Sierra Leone"
1599,KRW,"Turkmenbashi Airport",Türkmenba?y,Turkmenistan,Turkmenistan
1600,LFO,"Kelafo Airport (Kelafo Airport)",Kelafo,,Ethiopia
1601,LTW,"St. Mary's County Regional Airport",Leonardtown,Maryland,"United States"
1602,MSB,"Marigot Seaplane Base",St.Martin,,Guadeloupe
1603,NIQ,"Niaqornat Heliport",Niaqornat,,Greenland
1604,OST,"Ostend-Bruges International Airport",Flanders,,Belgium
1605,PPT,"Faa'a International Airport",Papeete,Tahiti,"French Polynesia"
1606,RIW,"Riverton Regional Airport",Riverton,Wyoming,"United States"
1607,SIR,"Sion Airport",Sion,,Switzerland
1608,SZB,"Sultan Abdul Aziz Shah Airport",Subang,,Malaysia
1609,TTQ,"Tortuguero Airport",Tortuguero,,"Costa Rica"
1610,VPZ,"Porter County Regional Airport",Valparaiso,Indiana,"United States"
1611,YAA,"Anahim Lake Airport","Anahim Lake","British Columbia",Canada
1612,YOJ,"High Level Airport","High Level",Alberta,Canada
1613,ZHY,"Zhongwei Xiangshan Airport",Zhongwei,Ningxia,China
1614,ACB,"Antrim County Airport",Bellaire,Michigan,"United States"
1615,AOP,"All airports",Andoas,,Peru
1616,BMF,"Bakouma Airport",Bakouma,,"Central African Republic"
1617,BXT,"Bontang Airport",Bontang,,Indonesia
1618,CJD,"Candilejas Airport",Candilejas,,Colombia
1619,CVE,"Coveñas Airport",Coveñas,,Colombia
1620,DOP,"Dolpa Airport",Dolpa,,Nepal
1621,EPH,"Ephrata Municipal Airport",Ephrata,Washington,"United States"
1622,FRN,"Bryant Army Heliport / Bryant AAF","Fort Richardson",Anchorage,"United States"
1623,GON,"Groton-New London Airport",Groton,Connecticut,"United States"
1624,HIS,"Hayman Island Resort Seaplace Base","Hayman Island",Queensland,Australia
1625,IGU,"Foz do Iguaçu International Airport","Foz do Iguaçu",Paraná,Brazil
1626,JGA,"Jamnagar Airport",Jamnagar,Gujurat,India
1627,KEO,"Odienné Airport",Odienné,,"Côte d'Ivoire"
1628,KRX,"Kar Kar Airport","Kar Kar",,"Papua New Guinea"
1629,LFP,"Lakefield Airport",Lakefield,Queensland,Australia
1630,LTX,"Cotopaxi International Airport",Latacunga,,Ecuador
1631,MGX,"Moabi Airport",Moabi,,Gabon
1632,MSC,"Falcon Field Airport",Mesa,Arizona,"United States"
1633,NIS,"Simberi Airport","Simberi Island",,"Papua New Guinea"
1634,OSU,"Ohio State University Airport",Columbus,Ohio,"United States"
1635,PPV,"PORT Protection Seaplane Base","PORT Protection",Alaska,"United States"
1636,RIX,"Riga International Airport",Riga,,Latvia
1637,SIT,"Sitka Rocky Gutierrez Airport",Sitka,Alaska,"United States"
1638,SZD,"Sheffield City Airport",Sheffield,England,"United Kingdom"
1639,TTS,"Tsaratanana Airport",Tsaratanana,,Madagascar
1640,VQS,"Antonio Rivera Rodriguez Airport",Vieques,"Puerto Rico","United States"
1641,YAB,"Arctic Bay Airport","Arctic Bay",Nunavut,Canada
1642,YOL,"Yola Airport",Yola,,Nigeria
1643,ZIC,"Victoria Airport",Victoria,Araucanía,Chile
1644,ACC,"Kotoka International Airport",Accra,,Ghana
1645,AOQ,"Aappilattoq Heliport (Qaasuitsup)",Aappilattoq,Qaasuitsup,Greenland
1646,BBV,"Bereby Airport",Bereby,,"Côte d'Ivoire"
1647,BMG,"Monroe County Airport",Bloomington,Indiana,"United States"
1648,BXU,"Butuan Airport","Butuan City",,Philippines
1649,CJF,"Coondewanna Airport",Coondewanna,"Western Australia",Australia
1650,CVF,"Courchevel Aerodrome",Courchevel,,France
1651,DOR,"Dori Airport",Dori,,"Burkina Faso"
1652,EPI,"Épi Island Airport","Épi Island",Shéfa,Vanuatu
1653,FRO,"Florø Airport",Florø,"Sogn og Fjordane",Norway
1654,GOO,"Goondiwindi Airport",Goondiwindi,Queensland,Australia
1655,HIT,"Hivaro Airport",Hivaro,,"Papua New Guinea"
1656,IHA,"Niihama Airport",Niihama,Shikoku,Japão
1657,JGB,"Jagdalpur Airport",Jagdalpur,,India
1658,KEP,"Nepalgunj Airport (Mahendra Airport)",Nepalgunj,,Nepal
1659,KRY,"Karamay Airport",Karamay,Xinjiang,China
1660,LFR,"La Fria Airport","La Fria",,Venezuela
1661,LUA,"Lukla Airport (Tenzing-Hillary Airport)",Lukla,,Nepal
1662,MGY,"Dayton - Wright Brothers Airport",Dayton,Ohio,"United States"
1663,MSD,"Mount Pleasant Airport","Mount Pleasant",Utah,"United States"
1664,NIX,"Nioro Airport",Nioro,,Mali
1665,OSX,"Kosciusko-Attala County Airport",Kosciusko,Mississippi,"United States"
1666,RJH,"Shah Makhdum Airport",Rajshahi,,Bangladesh
1667,SIU,"Siuna Airport",Siuna,,Nicaragua
1668,SZF,"Carsamba Airport",Samsun,,Turkey
1669,TTT,"Taitung Airport",Taitung,Taiwan,China
1670,VRA,"Juan Gualberto Gómez Airport",Varadero,"Matanzas Province",Cuba
1671,YAC,"Cat Lake Airport","Cat Lake",Ontario,Canada
1672,YOO,"Oshawa Airport",Oshawa,Ontario,Canada
1673,ZIG,"Ziguinchor Airport",Ziguinchor,,Senegal
1674,ACD,"Alcides Fernández Airport",Acandí,,Colombia
1675,AOR,"Sultan Abdul Halim Airport","Alor Star",Kedah,Malaysia
1676,BBW,"Broken Bow Municipal Airport","Broken Bow",Nebraska,"United States"
1677,BMH,"Bomai Airport",Bomai,,"Papua New Guinea"
1678,BXV,"Breiðdalsvík Airport",Breiðdalsvík,,Iceland
1679,CJH,"Chilko Lake (Tsylos Park Lodge) Airport","Chilko Lake","British Columbia",Canada
1680,DOS,"Dios Airport",Dios,,"Papua New Guinea"
1681,EPK,"Episkopi Airport",Episkopi,,Cyprus
1682,FRQ,"Feramin Airport",Feramin,,"Papua New Guinea"
1683,GOP,"Gorakhpur Airport",Gorakhpur,,India
1684,HIW,"Hiroshima West Airport",Hiroshima,Honsh?,Japão
1685,IHN,"Qishn Airport",Qishn,,Yemen
1686,JGC,"Grand Canyon Heliport","Grand Canyon",Arizona,"United States"
1687,KEQ,"Kebar Airport",Kebar,,Indonesia
1688,KRZ,"Kiri Airport (Basango Mboliasa Airport)",Kiri,,"Democratic Republic of the Congo"
1689,LFT,"Lafayette Regional Airport",Lafayette,Louisiana,"United States"
1690,LUB,"Lumid Pau Airport","Lumid Pau",,Guyana
1691,MGZ,"Myeik Airport",Myeik,,"Myanmar (Burma)"
1692,MSE,"Kent International Airport",Manston,Kent,"United Kingdom"
1693,NJC,"Nizhnevartovsk Airport",Nizhnevartovsk,,Russia
1694,OSW,"Orsk Airport",Orsk,"Orenburg Oblast",Russia
1695,PQQ,"PORT Macquarie Airport","PORT Macquarie","New South Wales",Australia
1696,RJK,"Rijeka Airport",Rijeka,,Croatia
1697,SIV,"Sullivan County Airport",Sullivan,Indiana,"United States"
1698,SZG,"Salzburg Airport",Salzburg,,Austria
1699,TTU,"Sania Ramel Airport",Tétouan,,Morocco
1700,VRB,"Vero Beach Municipal Airport","Vero Beach",Florida,"United States"
1701,YAD,"Moose Lake Airport","Moose Lake",Manitoba,Canada
1702,YOP,"Rainbow Lake Airport","Rainbow Lake",Alberta,Canada
1703,ZIH,"Ixtapa-Zihuatanejo International Airport",Zihuatanejo,Guerrero,Mexico
1704,ACE,"Lanzarote Airport",Arrecife,"Canary Islands",Spain
1705,AOS,"Amook Bay Seaplane Base","Amook Bay",Alaska,"United States"
1706,BBX,"Wings Field","Blue Bell",Pennsylvania,"United States"
1707,BMI,"Central Illinois Regional Airport",Bloomington,Illinois,"United States"
1708,BXX,"Borama Airport",Borama,,Somalia
1709,CJJ,"Cheong Ju International Airport","Cheong ju",,"South Korea"
1710,CVH,"Caviahue Airport",Caviahue,Neuquén,Argentina
1711,DOT,"Don Torcuato International Airport","Buenos Aires",,Argentina
